Benchmark finished!
|     |   batch |   q_seq_length |   kv_seq_length |   num_heads_q |   num_heads_kv |   head_dim | causal   | local   | use_sinks   |   page_size | provider   |     tflops |   bandwidth |         ms |
|  87 |      16 |            128 |            4096 |            16 |              8 |        256 | True     | False   | True        |         128 | flash_attn | 26.5695    |   110.274   |   5.1728   |
|  88 |      16 |            128 |            1024 |            16 |              4 |        512 | True     | False   | True        |           0 | flash_attn |  1.9512    |     5.7164  |  35.2191   |
|  89 |      16 |            128 |            1024 |            16 |              4 |        512 | True     | False   | True        |         128 | flash_attn |  1.95189   |     5.71842 |  35.2067   |
|  90 |      16 |            128 |            4096 |            16 |              4 |        512 | True     | False   | True        |           0 | flash_attn |  1.87841   |     4.12737 | 146.335    |
|  91 |      16 |            128 |            4096 |            16 |              4 |        512 | True     | False   | True        |         128 | flash_attn |  1.88599   |     4.14403 | 145.747    |
|  92 |      16 |            128 |            1024 |            16 |              8 |        512 | True     | False   | True        |           0 | flash_attn |  1.94658   |     9.50478 |  35.3027   |
|  93 |      16 |            128 |            1024 |            16 |              8 |        512 | True     | False   | True        |         128 | flash_attn |  1.94088   |     9.47696 |  35.4063   |
|  94 |      16 |            128 |            4096 |            16 |              8 |        512 | True     | False   | True        |           0 | flash_attn |  1.85896   |     7.7154  | 147.867    |
|  95 |      16 |            128 |            4096 |            16 |              8 |        512 | True     | False   | True        |         128 | flash_attn |  1.86958   |     7.7595  | 147.026    |
|  96 |       1 |            128 |            1024 |            16 |              4 |         64 | True     | False   | False       |           0 | flash_attn |  9.3013    |    27.2499  |   0.05772  |
|  97 |       1 |            128 |            1024 |            16 |              4 |         64 | True     | False   | False       |         128 | flash_attn | 11.4716    |    33.6082  |   0.0468   |
|  98 |       1 |            128 |            4096 |            16 |              4 |         64 | True     | False   | False       |           0 | flash_attn | 10.5919    |    23.2732  |   0.202748 |
|  99 |       1 |            128 |            4096 |            16 |              4 |         64 | True     | False   | False       |         128 | flash_attn | 13.378     |    29.3949  |   0.160524 |
| 100 |       1 |            128 |            1024 |            16 |              8 |         64 | True     | False   | False       |           0 | flash_attn |  9.36882   |    45.7462  |   0.057304 |
| 101 |       1 |            128 |            1024 |            16 |              8 |         64 | True     | False   | False       |         128 | flash_attn | 11.4335    |    55.8276  |   0.046956 |
| 102 |       1 |            128 |            4096 |            16 |              8 |         64 | True     | False   | False       |           0 | flash_attn | 10.6547    |    44.2213  |   0.201552 |
| 103 |       1 |            128 |            4096 |            16 |              8 |         64 | True     | False   | False       |         128 | flash_attn | 13.3693    |    55.4878  |   0.160628 |
| 104 |       1 |            128 |            1024 |            16 |              4 |        128 | True     | False   | False       |           0 | flash_attn | 22.3957    |    65.6125  |   0.047944 |
| 105 |       1 |            128 |            1024 |            16 |              4 |        128 | True     | False   | False       |         128 | flash_attn | 10.1869    |    29.8445  |   0.105404 |
